"MGRS_10km","n.taxa","n.neigh","ratio","diff"
"29SQB36",171,552,2.2280701754386,381
"29SQB35",169,563,2.33136094674556,394
"29SQB38",272,758,1.78676470588235,486
"29SQB37",280,601,1.14642857142857,321
"29SQB39",409,799,0.953545232273839,390
"29SQB30",285,881,2.09122807017544,596
"29SQB32",318,915,1.87735849056604,597
"29SQB31",245,941,2.84081632653061,696
"29SQB34",235,740,2.14893617021277,505
"29SQB33",340,894,1.62941176470588,554
"29SQB03",225,680,2.02222222222222,455
"29SQB02",216,749,2.46759259259259,533
"29SQB05",246,646,1.6260162601626,400
"29SQB04",227,641,1.82378854625551,414
"29SQB07",184,622,2.3804347826087,438
"29SQB06",220,587,1.66818181818182,367
"29SQB09",589,899,0.526315789473684,310
"29SQB08",212,857,3.04245283018868,645
"29SQB01",284,742,1.61267605633803,458
"29SQB00",312,669,1.14423076923077,357
"29SME90",48,345,6.1875,297
"29SNA99",665,1033,0.553383458646617,368
"29SNA89",350,994,1.84,644
"29SQB69",234,500,1.13675213675214,266
"29SQB68",85,418,3.91764705882353,333
"29SQB61",53,410,6.73584905660377,357
"29SQB60",95,258,1.71578947368421,163
"29SQB63",124,543,3.37903225806452,419
"29SQB62",96,476,3.95833333333333,380
"29SQB65",75,467,5.22666666666667,392
"29SQB64",148,447,2.02027027027027,299
"29SQB67",79,373,3.72151898734177,294
"29SQB66",81,392,3.83950617283951,311
"29SQB58",212,560,1.64150943396226,348
"29SQB57",160,499,2.11875,339
"29SQB59",290,639,1.20344827586207,349
"29SQB50",68,319,3.69117647058824,251
"29SQB52",292,635,1.17465753424658,343
"29SQB51",116,526,3.53448275862069,410
"29SQB54",152,649,3.26973684210526,497
"29SQB53",149,714,3.79194630872483,565
"29SQB56",226,531,1.34955752212389,305
"29SQB55",163,592,2.6319018404908,429
"29SPD99",56,396,6.07142857142857,340
"29SPD98",46,416,8.04347826086956,370
"29SPD91",94,707,6.52127659574468,613
"29SPD90",152,722,3.75,570
"29SPD93",93,463,3.97849462365591,370
"29SPD92",104,555,4.33653846153846,451
"29SPD95",172,469,1.72674418604651,297
"29SPD94",94,446,3.74468085106383,352
"29SPD97",80,496,5.2,416
"29SPD96",228,474,1.07894736842105,246
"29SPD88",73,461,5.31506849315068,388
"29SPD87",37,500,12.5135135135135,463
"29SPD89",213,467,1.1924882629108,254
"29SPD80",250,859,2.436,609
"29SPD82",175,590,2.37142857142857,415
"29SPD81",189,777,3.11111111111111,588
"29SPD84",33,520,14.7575757575758,487
"29SPD83",176,558,2.17045454545455,382
"29SPD86",231,479,1.07359307359307,248
"29SPD85",49,527,9.75510204081633,478
"29SPD55",148,696,3.7027027027027,548
"29SPD54",181,638,2.52486187845304,457
"29SPD57",143,526,2.67832167832168,383
"29SPD56",116,660,4.68965517241379,544
"29SPD59",205,547,1.66829268292683,342
"29SPD58",124,489,2.94354838709677,365
"29SPD51",149,734,3.9261744966443,585
"29SPD50",427,794,0.859484777517564,367
"29SPD53",86,511,4.94186046511628,425
"29SPD52",124,575,3.63709677419355,451
"29SPD44",197,750,2.80710659898477,553
"29SPD43",65,523,7.04615384615385,458
"29SPD46",321,851,1.65109034267913,530
"29SPD45",431,872,1.02320185614849,441
"29SPD48",55,509,8.25454545454545,454
"29SPD47",19,746,38.2631578947368,727
"29SPD49",174,576,2.31034482758621,402
"29SPD40",63,709,10.2539682539683,646
"29SPD42",74,399,4.39189189189189,325
"29SPD41",84,572,5.80952380952381,488
"29SNA09",426,696,0.633802816901408,270
"29SPD77",72,417,4.79166666666667,345
"29SPD76",35,382,9.91428571428571,347
"29SPD79",152,543,2.57236842105263,391
"29SPD78",102,496,3.86274509803922,394
"29SPD71",140,891,5.36428571428571,751
"29SPD70",560,960,0.714285714285714,400
"29SPD73",197,559,1.83756345177665,362
"29SPD72",174,686,2.94252873563218,512
"29SPD75",28,453,15.1785714285714,425
"29SPD74",227,468,1.06167400881057,241
"29SPD66",93,396,3.25806451612903,303
"29SPD65",65,489,6.52307692307692,424
"29SPD68",36,517,13.3611111111111,481
"29SPD67",45,407,8.04444444444444,362
"29SPD69",215,559,1.6,344
"29SPD60",425,1013,1.38352941176471,588
"29SPD62",94,662,6.04255319148936,568
"29SPD61",369,923,1.50135501355014,554
"29SPD64",114,525,3.60526315789474,411
"29SPD63",51,598,10.7254901960784,547
"29SNA19",87,783,8,696
